"dataset","month","hit","miss","hit_ratio"
"Lottery 1970","Jan",14,17,0.451612903225806
"Lottery 1970","Feb",13,16,0.448275862068966
"Lottery 1970","Mar",10,21,0.32258064516129
"Lottery 1970","Apr",12,18,0.4
"Lottery 1970","May",14,17,0.451612903225806
"Lottery 1970","Jun",14,16,0.466666666666667
"Lottery 1970","Jul",18,13,0.580645161290323
"Lottery 1970","Aug",19,12,0.612903225806452
"Lottery 1970","Sep",19,11,0.633333333333333
"Lottery 1970","Oct",14,17,0.451612903225806
"Lottery 1970","Nov",22,8,0.733333333333333
"Lottery 1970","Dec",26,5,0.838709677419355
"Lottery 1971","Jan",12,18,0.4
"Lottery 1971","Feb",9,19,0.321428571428571
"Lottery 1971","Mar",10,21,0.32258064516129
"Lottery 1971","Apr",9,21,0.3
"Lottery 1971","May",9,22,0.290322580645161
"Lottery 1971","Jun",9,21,0.3
"Lottery 1971","Jul",12,19,0.387096774193548
"Lottery 1971","Aug",13,18,0.419354838709677
"Lottery 1971","Sep",7,23,0.233333333333333
"Lottery 1971","Oct",12,19,0.387096774193548
"Lottery 1971","Nov",14,16,0.466666666666667
"Lottery 1971","Dec",9,22,0.290322580645161
"Lottery 1972","Jan",6,25,0.193548387096774
"Lottery 1972","Feb",7,22,0.241379310344828
"Lottery 1972","Mar",3,28,0.0967741935483871
"Lottery 1972","Apr",8,22,0.266666666666667
"Lottery 1972","May",12,19,0.387096774193548
"Lottery 1972","Jun",11,19,0.366666666666667
"Lottery 1972","Jul",6,25,0.193548387096774
"Lottery 1972","Aug",8,23,0.258064516129032
"Lottery 1972","Sep",9,21,0.3
"Lottery 1972","Oct",11,20,0.354838709677419
"Lottery 1972","Nov",5,25,0.166666666666667
"Lottery 1972","Dec",9,22,0.290322580645161
"Lottery 1973","Jan",6,25,0.193548387096774
"Lottery 1973","Feb",6,22,0.214285714285714
"Lottery 1973","Mar",11,20,0.354838709677419
"Lottery 1973","Apr",9,21,0.3
"Lottery 1973","May",5,26,0.161290322580645
"Lottery 1973","Jun",13,17,0.433333333333333
"Lottery 1973","Jul",8,23,0.258064516129032
"Lottery 1973","Aug",12,19,0.387096774193548
"Lottery 1973","Sep",4,26,0.133333333333333
"Lottery 1973","Oct",8,23,0.258064516129032
"Lottery 1973","Nov",2,28,0.0666666666666667
"Lottery 1973","Dec",10,21,0.32258064516129
